id  ,State                ,County               ,Year   ,Days with AQI ,Good Days ,Moderate Days ,Unhealthy for Sensitive Groups Days ,Unhealthy Days ,Very Unhealthy Days ,Hazardous Days ,Max AQI
21  ,Arizona              ,Mohave               ,2020.0 ,89.0          ,89.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,26.0
22  ,Arizona              ,Navajo               ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,44.0
23  ,Arizona              ,Pima                 ,2020.0 ,91.0          ,84.0      ,6.0           ,1.0                                 ,0.0            ,0.0                 ,0.0            ,103.0
24  ,Arizona              ,Pinal                ,2020.0 ,89.0          ,82.0      ,7.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,71.0
25  ,Arizona              ,Santa Cruz           ,2020.0 ,91.0          ,61.0      ,28.0          ,1.0                                 ,1.0            ,0.0                 ,0.0            ,165.0
26  ,Arizona              ,Yavapai              ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,50.0
27  ,Arizona              ,Yuma                 ,2020.0 ,91.0          ,87.0      ,4.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,94.0
28  ,Arkansas             ,Arkansas             ,2020.0 ,30.0          ,29.0      ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,62.0
29  ,Arkansas             ,Ashley               ,2020.0 ,31.0          ,31.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,48.0
30  ,Arkansas             ,Clark                ,2020.0 ,29.0          ,29.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,48.0
31  ,Arkansas             ,Crittenden           ,2020.0 ,91.0          ,89.0      ,2.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,66.0
32  ,Arkansas             ,Garland              ,2020.0 ,31.0          ,30.0      ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,65.0
33  ,Arkansas             ,Jackson              ,2020.0 ,31.0          ,29.0      ,2.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,63.0
34  ,Arkansas             ,Newton               ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,49.0
35  ,Arkansas             ,Polk                 ,2020.0 ,88.0          ,86.0      ,2.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,72.0
36  ,Arkansas             ,Pulaski              ,2020.0 ,92.0          ,81.0      ,11.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,63.0
37  ,Arkansas             ,Union                ,2020.0 ,31.0          ,30.0      ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,52.0
38  ,Arkansas             ,Washington           ,2020.0 ,91.0          ,87.0      ,4.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,63.0
39  ,California           ,Butte                ,2020.0 ,10.0          ,7.0       ,3.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,62.0
40  ,California           ,Colusa               ,2020.0 ,14.0          ,12.0      ,2.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,72.0
41  ,California           ,Fresno               ,2020.0 ,121.0         ,70.0      ,48.0          ,3.0                                 ,0.0            ,0.0                 ,0.0            ,118.0
42  ,California           ,Imperial             ,2020.0 ,57.0          ,27.0      ,28.0          ,2.0                                 ,0.0            ,0.0                 ,0.0            ,114.0
43  ,California           ,Inyo                 ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,49.0
44  ,California           ,Kern                 ,2020.0 ,91.0          ,42.0      ,48.0          ,1.0                                 ,0.0            ,0.0                 ,0.0            ,106.0
45  ,California           ,Kings                ,2020.0 ,91.0          ,73.0      ,18.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,90.0
46  ,California           ,Madera               ,2020.0 ,5.0           ,3.0       ,2.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,75.0
47  ,California           ,Mariposa             ,2020.0 ,60.0          ,60.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,48.0
48  ,California           ,Merced               ,2020.0 ,20.0          ,8.0       ,12.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,87.0
49  ,California           ,Nevada               ,2020.0 ,121.0         ,117.0     ,4.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,64.0
50  ,California           ,Placer               ,2020.0 ,11.0          ,6.0       ,5.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,74.0
51  ,California           ,Plumas               ,2020.0 ,115.0         ,52.0      ,61.0          ,2.0                                 ,0.0            ,0.0                 ,0.0            ,114.0
52  ,California           ,Riverside            ,2020.0 ,121.0         ,106.0     ,14.0          ,0.0                                 ,0.0            ,1.0                 ,0.0            ,207.0
53  ,California           ,Sacramento           ,2020.0 ,60.0          ,31.0      ,29.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,89.0
54  ,California           ,San Benito           ,2020.0 ,60.0          ,60.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,45.0
55  ,California           ,San Bernardino       ,2020.0 ,60.0          ,55.0      ,5.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,80.0
56  ,California           ,San Diego            ,2020.0 ,2.0           ,2.0       ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,20.0
57  ,California           ,San Luis Obispo      ,2020.0 ,31.0          ,30.0      ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,56.0
58  ,California           ,Santa Barbara        ,2020.0 ,61.0          ,59.0      ,2.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,55.0
59  ,California           ,Shasta               ,2020.0 ,59.0          ,56.0      ,3.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,84.0
60  ,California           ,Stanislaus           ,2020.0 ,10.0          ,6.0       ,4.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,74.0
61  ,California           ,Sutter               ,2020.0 ,52.0          ,31.0      ,21.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,95.0
62  ,California           ,Tulare               ,2020.0 ,60.0          ,41.0      ,18.0          ,1.0                                 ,0.0            ,0.0                 ,0.0            ,111.0
63  ,California           ,Ventura              ,2020.0 ,91.0          ,85.0      ,6.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,60.0
64  ,California           ,Yolo                 ,2020.0 ,3.0           ,3.0       ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,38.0
65  ,Colorado             ,Adams                ,2020.0 ,102.0         ,86.0      ,16.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,93.0
66  ,Colorado             ,Arapahoe             ,2020.0 ,74.0          ,74.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,50.0
67  ,Colorado             ,Archuleta            ,2020.0 ,59.0          ,58.0      ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,53.0
68  ,Colorado             ,Boulder              ,2020.0 ,70.0          ,69.0      ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,58.0
69  ,Colorado             ,Clear Creek          ,2020.0 ,38.0          ,38.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,50.0
70  ,Colorado             ,Denver               ,2020.0 ,103.0         ,80.0      ,23.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,85.0
71  ,Colorado             ,Douglas              ,2020.0 ,75.0          ,75.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,49.0
72  ,Colorado             ,El Paso              ,2020.0 ,68.0          ,68.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,50.0
73  ,Colorado             ,Fremont              ,2020.0 ,2.0           ,2.0       ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,9.0
74  ,Colorado             ,Garfield             ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,47.0
75  ,Colorado             ,Gilpin               ,2020.0 ,60.0          ,57.0      ,3.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,58.0
76  ,Colorado             ,Gunnison             ,2020.0 ,60.0          ,56.0      ,4.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,58.0
77  ,Colorado             ,Jefferson            ,2020.0 ,60.0          ,60.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,50.0
78  ,Colorado             ,La Plata             ,2020.0 ,31.0          ,31.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,44.0
79  ,Colorado             ,Larimer              ,2020.0 ,61.0          ,56.0      ,5.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,61.0
80  ,Colorado             ,Mesa                 ,2020.0 ,88.0          ,88.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,49.0
81  ,Colorado             ,Montezuma            ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,48.0
82  ,Colorado             ,Pitkin               ,2020.0 ,15.0          ,15.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,28.0
83  ,Colorado             ,Prowers              ,2020.0 ,55.0          ,55.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,25.0
84  ,Colorado             ,Pueblo               ,2020.0 ,33.0          ,33.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,33.0
85  ,Colorado             ,Rio Blanco           ,2020.0 ,31.0          ,31.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,47.0
86  ,Colorado             ,Routt                ,2020.0 ,48.0          ,48.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,29.0
87  ,Colorado             ,San Miguel           ,2020.0 ,20.0          ,19.0      ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,54.0
88  ,Colorado             ,Weld                 ,2020.0 ,68.0          ,68.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,46.0
89  ,Connecticut          ,Windham              ,2020.0 ,60.0          ,60.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,46.0
90  ,Country Of Mexico    ,SONORA               ,2020.0 ,91.0          ,90.0      ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,51.0
91  ,Delaware             ,Kent                 ,2020.0 ,60.0          ,55.0      ,5.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,60.0
92  ,Delaware             ,New Castle           ,2020.0 ,61.0          ,51.0      ,10.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,76.0
93  ,Delaware             ,Sussex               ,2020.0 ,60.0          ,57.0      ,3.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,59.0
94  ,District Of Columbia ,District of Columbia ,2020.0 ,91.0          ,87.0      ,4.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,63.0
95  ,Florida              ,Alachua              ,2020.0 ,91.0          ,84.0      ,7.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,62.0
96  ,Florida              ,Bay                  ,2020.0 ,88.0          ,80.0      ,7.0           ,1.0                                 ,0.0            ,0.0                 ,0.0            ,131.0
97  ,Florida              ,Citrus               ,2020.0 ,91.0          ,80.0      ,10.0          ,1.0                                 ,0.0            ,0.0                 ,0.0            ,125.0
98  ,Florida              ,Duval                ,2020.0 ,92.0          ,70.0      ,22.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,65.0
99  ,Florida              ,Holmes               ,2020.0 ,89.0          ,79.0      ,10.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,66.0
100 ,Florida              ,Indian River         ,2020.0 ,26.0          ,26.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,50.0
101 ,Florida              ,Liberty              ,2020.0 ,28.0          ,28.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,44.0
102 ,Florida              ,Manatee              ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,4.0
103 ,Florida              ,Marion               ,2020.0 ,91.0          ,78.0      ,13.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,60.0
104 ,Florida              ,Okaloosa             ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,48.0
105 ,Florida              ,Palm Beach           ,2020.0 ,91.0          ,88.0      ,3.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,69.0
106 ,Florida              ,Pasco                ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,50.0
107 ,Florida              ,Polk                 ,2020.0 ,91.0          ,78.0      ,13.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,73.0
108 ,Florida              ,Putnam               ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,40.0
109 ,Florida              ,Sarasota             ,2020.0 ,91.0          ,83.0      ,8.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,76.0
110 ,Georgia              ,Bibb                 ,2020.0 ,91.0          ,79.0      ,12.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,65.0
111 ,Georgia              ,Chatham              ,2020.0 ,91.0          ,82.0      ,9.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,60.0
112 ,Georgia              ,Clarke               ,2020.0 ,91.0          ,78.0      ,13.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,74.0
113 ,Georgia              ,Clayton              ,2020.0 ,11.0          ,11.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,42.0
114 ,Georgia              ,Cobb                 ,2020.0 ,11.0          ,11.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,46.0
115 ,Georgia              ,Coffee               ,2020.0 ,11.0          ,11.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,25.0
116 ,Georgia              ,DeKalb               ,2020.0 ,91.0          ,82.0      ,9.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,65.0
117 ,Georgia              ,Dougherty            ,2020.0 ,85.0          ,56.0      ,29.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,86.0
118 ,Georgia              ,Floyd                ,2020.0 ,91.0          ,82.0      ,9.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,64.0
119 ,Georgia              ,Fulton               ,2020.0 ,91.0          ,75.0      ,16.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,73.0
120 ,Georgia              ,Glynn                ,2020.0 ,11.0          ,11.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,41.0
121 ,Georgia              ,Gwinnett             ,2020.0 ,88.0          ,78.0      ,10.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,67.0
122 ,Georgia              ,Hall                 ,2020.0 ,85.0          ,71.0      ,14.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,71.0
123 ,Georgia              ,Henry                ,2020.0 ,91.0          ,85.0      ,6.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,60.0
124 ,Georgia              ,Houston              ,2020.0 ,88.0          ,73.0      ,15.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,80.0
125 ,Georgia              ,Lowndes              ,2020.0 ,57.0          ,51.0      ,6.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,59.0
126 ,Georgia              ,Muscogee             ,2020.0 ,91.0          ,80.0      ,11.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,77.0
127 ,Georgia              ,Pike                 ,2020.0 ,57.0          ,57.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,43.0
128 ,Georgia              ,Richmond             ,2020.0 ,91.0          ,67.0      ,24.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,75.0
129 ,Georgia              ,Walker               ,2020.0 ,89.0          ,77.0      ,12.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,64.0
130 ,Georgia              ,Washington           ,2020.0 ,88.0          ,79.0      ,9.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,67.0
131 ,Hawaii               ,Hawaii               ,2020.0 ,59.0          ,59.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,30.0
132 ,Hawaii               ,Honolulu             ,2020.0 ,10.0          ,9.0       ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,54.0
133 ,Idaho                ,Butte                ,2020.0 ,60.0          ,59.0      ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,51.0
134 ,Idaho                ,Idaho                ,2020.0 ,91.0          ,85.0      ,6.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,74.0
135 ,Idaho                ,Jerome               ,2020.0 ,60.0          ,60.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,21.0
136 ,Idaho                ,Nez Perce            ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,29.0
137 ,Illinois             ,Champaign            ,2020.0 ,60.0          ,52.0      ,8.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,56.0
138 ,Illinois             ,Clark                ,2020.0 ,89.0          ,89.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,43.0
139 ,Illinois             ,Cook                 ,2020.0 ,61.0          ,27.0      ,34.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,77.0
140 ,Illinois             ,DuPage               ,2020.0 ,60.0          ,42.0      ,18.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,70.0
141 ,Illinois             ,Hamilton             ,2020.0 ,60.0          ,50.0      ,10.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,61.0
142 ,Illinois             ,Jersey               ,2020.0 ,52.0          ,48.0      ,4.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,61.0
143 ,Illinois             ,Jo Daviess           ,2020.0 ,60.0          ,60.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,43.0
144 ,Illinois             ,Kane                 ,2020.0 ,21.0          ,17.0      ,4.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,67.0
145 ,Illinois             ,La Salle             ,2020.0 ,60.0          ,60.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,6.0
146 ,Illinois             ,Macon                ,2020.0 ,60.0          ,47.0      ,13.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,61.0
147 ,Illinois             ,Macoupin             ,2020.0 ,59.0          ,59.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,11.0
148 ,Illinois             ,Madison              ,2020.0 ,60.0          ,30.0      ,30.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,69.0
149 ,Illinois             ,McHenry              ,2020.0 ,60.0          ,53.0      ,7.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,56.0
150 ,Illinois             ,McLean               ,2020.0 ,58.0          ,43.0      ,15.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,64.0
151 ,Illinois             ,Peoria               ,2020.0 ,60.0          ,50.0      ,10.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,67.0
152 ,Illinois             ,Randolph             ,2020.0 ,60.0          ,54.0      ,6.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,55.0
153 ,Illinois             ,Rock Island          ,2020.0 ,60.0          ,52.0      ,8.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,62.0
154 ,Illinois             ,Saint Clair          ,2020.0 ,60.0          ,58.0      ,2.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,72.0
155 ,Illinois             ,Sangamon             ,2020.0 ,58.0          ,54.0      ,4.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,55.0
156 ,Illinois             ,Tazewell             ,2020.0 ,60.0          ,60.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,16.0
157 ,Illinois             ,Wabash               ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,14.0
158 ,Illinois             ,Will                 ,2020.0 ,60.0          ,36.0      ,24.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,68.0
159 ,Illinois             ,Winnebago            ,2020.0 ,60.0          ,49.0      ,11.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,75.0
160 ,Indiana              ,Allen                ,2020.0 ,91.0          ,83.0      ,8.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,60.0
161 ,Indiana              ,Bartholomew          ,2020.0 ,88.0          ,86.0      ,2.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,56.0
162 ,Indiana              ,Boone                ,2020.0 ,86.0          ,86.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,43.0
163 ,Indiana              ,Brown                ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,48.0
164 ,Indiana              ,Carroll              ,2020.0 ,90.0          ,90.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,39.0
165 ,Indiana              ,Clark                ,2020.0 ,91.0          ,76.0      ,15.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,62.0
166 ,Indiana              ,Delaware             ,2020.0 ,91.0          ,87.0      ,4.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,65.0
167 ,Indiana              ,Dubois               ,2020.0 ,32.0          ,27.0      ,5.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,56.0
168 ,Indiana              ,Elkhart              ,2020.0 ,91.0          ,86.0      ,5.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,57.0
169 ,Indiana              ,Floyd                ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,47.0
170 ,Indiana              ,Gibson               ,2020.0 ,88.0          ,88.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,47.0
171 ,Indiana              ,Greene               ,2020.0 ,91.0          ,89.0      ,2.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,52.0
172 ,Indiana              ,Hamilton             ,2020.0 ,91.0          ,84.0      ,7.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,58.0
173 ,Indiana              ,Hendricks            ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,43.0
174 ,Indiana              ,Henry                ,2020.0 ,30.0          ,26.0      ,4.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,63.0
175 ,Indiana              ,Howard               ,2020.0 ,91.0          ,83.0      ,8.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,62.0
176 ,Indiana              ,Knox                 ,2020.0 ,60.0          ,60.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,43.0
177 ,Indiana              ,LaPorte              ,2020.0 ,91.0          ,86.0      ,5.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,59.0
178 ,Indiana              ,Lake                 ,2020.0 ,91.0          ,62.0      ,29.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,67.0
179 ,Indiana              ,Madison              ,2020.0 ,91.0          ,87.0      ,4.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,57.0
180 ,Indiana              ,Marion               ,2020.0 ,91.0          ,59.0      ,32.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,71.0
181 ,Indiana              ,Monroe               ,2020.0 ,71.0          ,69.0      ,2.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,52.0
182 ,Indiana              ,Perry                ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,50.0
183 ,Indiana              ,Porter               ,2020.0 ,91.0          ,77.0      ,14.0          ,0.0                                 ,0.0            ,0.0                 ,0.0            ,64.0
184 ,Indiana              ,Posey                ,2020.0 ,83.0          ,83.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,44.0
185 ,Indiana              ,Shelby               ,2020.0 ,91.0          ,91.0      ,0.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,41.0
186 ,Indiana              ,Spencer              ,2020.0 ,31.0          ,30.0      ,1.0           ,0.0                                 ,0.0            ,0.0                 ,0.0            ,60.0
