id,State,Year,National Rank,Female Senate Democrats,Female Senate Republicans,Female Senate Independents,Female Senate Other,Female Senate Total,Total Senate Members,Female House Democrats,Female House Republicans,Female House Independents,Female House Other,Female House Total,Total House Members,Total Females in Legislature,Total Legislature Members,Percentage of Females in Legislature
19,Maine,2019.0,9.0,8.0,4.0,0.0,0.0,12.0,35.0,47.0,11.0,0.0,0.0,58.0,151.0,70.0,186.0,37.6
20,Maryland,2019.0,7.0,12.0,2.0,0.0,0.0,14.0,47.0,51.0,7.0,0.0,0.0,58.0,141.0,72.0,188.0,38.3
21,Massachusetts,2019.0,27.0,11.0,0.0,0.0,0.0,11.0,40.0,38.0,7.0,1.0,0.0,46.0,160.0,57.0,200.0,28.5
22,Michigan,2019.0,12.0,8.0,3.0,0.0,0.0,11.0,38.0,25.0,17.0,0.0,0.0,42.0,110.0,53.0,148.0,35.8
23,Minnesota,2019.0,21.0,10.0,6.0,0.0,0.0,16.0,67.0,34.0,13.0,0.0,0.0,47.0,134.0,63.0,201.0,31.3
24,Mississippi,2019.0,49.0,4.0,5.0,0.0,0.0,9.0,52.0,8.0,7.0,0.0,0.0,15.0,122.0,24.0,174.0,13.8
25,Missouri,2019.0,38.0,6.0,3.0,0.0,0.0,9.0,34.0,18.0,20.0,0.0,0.0,38.0,163.0,47.0,197.0,23.9
26,Montana,2019.0,22.0,11.0,2.0,0.0,0.0,13.0,50.0,22.0,11.0,0.0,0.0,33.0,100.0,46.0,150.0,30.7
27,Nebraska*,2019.0,26.0,0.0,0.0,0.0,0.0,14.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,49.0,28.6
28,Nevada,2019.0,1.0,9.0,1.0,0.0,0.0,10.0,21.0,18.0,5.0,0.0,0.0,23.0,42.0,33.0,63.0,52.4
29,New Hampshire,2019.0,14.0,7.0,3.0,0.0,0.0,10.0,24.0,109.0,25.0,0.0,0.0,134.0,400.0,144.0,424.0,34.0
30,New Jersey,2019.0,18.0,9.0,1.0,0.0,0.0,10.0,40.0,21.0,7.0,0.0,0.0,28.0,80.0,38.0,120.0,31.7
31,New Mexico,2019.0,13.0,7.0,2.0,0.0,0.0,9.0,42.0,24.0,7.0,0.0,0.0,31.0,70.0,40.0,112.0,35.7
32,New York,2019.0,15.0,14.0,5.0,0.0,0.0,19.0,63.0,46.0,4.0,0.0,0.0,50.0,150.0,69.0,213.0,32.4
33,North Carolina,2019.0,33.0,6.0,4.0,0.0,0.0,10.0,50.0,23.0,10.0,0.0,0.0,33.0,120.0,43.0,170.0,25.3
34,North Dakota,2019.0,42.0,4.0,7.0,0.0,0.0,11.0,47.0,8.0,12.0,0.0,0.0,20.0,94.0,31.0,141.0,22.0
35,Ohio,2019.0,29.0,4.0,4.0,0.0,0.0,8.0,33.0,19.0,9.0,0.0,0.0,28.0,99.0,36.0,132.0,27.3
36,Oklahoma,2019.0,43.0,5.0,4.0,0.0,0.0,9.0,48.0,11.0,12.0,0.0,0.0,23.0,101.0,32.0,149.0,21.5
37,Oregon,2019.0,3.0,7.0,2.0,0.0,0.0,9.0,30.0,22.0,7.0,0.0,0.0,29.0,60.0,38.0,90.0,42.2
38,Pennsylvania,2019.0,32.0,7.0,6.0,0.0,0.0,13.0,50.0,30.0,23.0,0.0,0.0,53.0,203.0,66.0,253.0,26.1
39,Rhode Island,2019.0,10.0,14.0,2.0,0.0,0.0,16.0,38.0,25.0,1.0,0.0,0.0,26.0,75.0,42.0,113.0,37.2
40,South Carolina,2019.0,44.0,2.0,2.0,0.0,0.0,4.0,46.0,12.0,12.0,0.0,0.0,24.0,124.0,28.0,170.0,16.5
41,South Dakota,2019.0,41.0,2.0,3.0,0.0,0.0,5.0,35.0,4.0,15.0,0.0,0.0,19.0,70.0,24.0,105.0,22.9
42,Tennessee,2019.0,48.0,4.0,4.0,0.0,0.0,8.0,33.0,4.0,8.0,0.0,0.0,12.0,99.0,20.0,132.0,15.2
43,Texas,2019.0,39.0,3.0,6.0,0.0,0.0,9.0,31.0,27.0,6.0,0.0,0.0,33.0,150.0,42.0,181.0,23.2
44,Utah,2019.0,35.0,4.0,2.0,0.0,0.0,6.0,29.0,12.0,8.0,0.0,0.0,20.0,75.0,26.0,104.0,25.0
45,Vermont,2019.0,5.0,10.0,0.0,0.0,0.0,10.0,30.0,41.0,14.0,3.0,1.0,62.0,150.0,72.0,180.0,40.0
46,Virginia,2019.0,31.0,7.0,3.0,0.0,0.0,10.0,40.0,22.0,5.0,0.0,0.0,27.0,100.0,37.0,140.0,26.4
47,Washington,2019.0,4.0,12.0,7.0,0.0,0.0,19.0,49.0,30.0,10.0,0.0,0.0,40.0,98.0,59.0,147.0,40.1
48,West Virginia,2019.0,50.0,0.0,3.0,0.0,0.0,3.0,34.0,8.0,7.0,0.0,0.0,15.0,100.0,18.0,134.0,13.4
49,Wisconsin,2019.0,29.0,6.0,2.0,0.0,0.0,8.0,33.0,18.0,10.0,0.0,0.0,28.0,99.0,36.0,132.0,27.3
50,Wyoming,2019.0,46.0,1.0,5.0,0.0,0.0,6.0,30.0,4.0,4.0,0.0,0.0,8.0,60.0,14.0,90.0,15.6
51,Alabama,2018.0,45.0,3.0,0.0,1.0,0.0,4.0,35.0,12.0,5.0,0.0,0.0,17.0,105.0,21.0,140.0,15.0
52,Alaska,2018.0,12.0,1.0,0.0,5.0,0.0,6.0,20.0,4.0,9.0,0.0,0.0,13.0,40.0,19.0,60.0,31.7
53,Arizona,2018.0,1.0,6.0,8.0,0.0,0.0,14.0,30.0,13.0,9.0,0.0,0.0,22.0,60.0,36.0,90.0,40.0
54,Arkansas,2018.0,40.0,3.0,5.0,0.0,0.0,8.0,35.0,3.0,15.0,0.0,0.0,18.0,100.0,26.0,135.0,19.3
55,California,2018.0,25.0,7.0,4.0,0.0,0.0,11.0,40.0,17.0,3.0,0.0,0.0,20.0,80.0,31.0,120.0,25.8
56,Colorado,2018.0,4.0,8.0,2.0,1.0,0.0,11.0,35.0,18.0,9.0,0.0,0.0,27.0,65.0,38.0,100.0,38.0
57,Connecticut,2018.0,21.0,7.0,2.0,0.0,0.0,9.0,36.0,21.0,21.0,0.0,0.0,42.0,151.0,51.0,187.0,27.3
58,Deleware,2018.0,34.0,3.0,1.0,0.0,0.0,4.0,21.0,7.0,2.0,0.0,0.0,9.0,41.0,13.0,62.0,21.0
59,Florida,2018.0,26.0,6.0,7.0,0.0,0.0,13.0,40.0,14.0,14.0,0.0,0.0,28.0,120.0,41.0,160.0,25.6
60,Georgia,2018.0,23.0,11.0,2.0,0.0,0.0,13.0,56.0,32.0,18.0,0.0,0.0,50.0,180.0,63.0,236.0,26.7
61,Hawaii,2018.0,16.0,7.0,0.0,0.0,0.0,7.0,25.0,12.0,3.0,0.0,0.0,15.0,51.0,22.0,76.0,28.9
62,Idaho,2018.0,14.0,4.0,5.0,0.0,0.0,9.0,35.0,7.0,16.0,0.0,0.0,23.0,70.0,32.0,105.0,30.5
63,Illinois,2018.0,6.0,13.0,2.0,0.0,0.0,15.0,59.0,34.0,13.0,0.0,0.0,47.0,118.0,62.0,177.0,35.0
64,Indiana,2018.0,36.0,2.0,6.0,0.0,0.0,8.0,50.0,11.0,11.0,0.0,0.0,22.0,100.0,30.0,150.0,20.0
65,Iowa,2018.0,31.0,5.0,2.0,0.0,0.0,7.0,50.0,19.0,9.0,0.0,0.0,28.0,100.0,35.0,150.0,22.3
66,Kansas,2018.0,18.0,4.0,11.0,0.0,0.0,15.0,40.0,15.0,17.0,0.0,0.0,32.0,125.0,47.0,165.0,28.5
67,Kentucky,2018.0,42.0,2.0,2.0,0.0,0.0,4.0,38.0,10.0,9.0,0.0,0.0,19.0,100.0,23.0,138.0,16.7
68,Louisiana,2018.0,48.0,3.0,2.0,0.0,0.0,5.0,39.0,7.0,9.0,0.0,0.0,16.0,105.0,21.0,144.0,14.6
69,Maine,2018.0,7.0,6.0,4.0,0.0,0.0,10.0,35.0,35.0,17.0,1.0,0.0,53.0,151.0,63.0,186.0,33.9
70,Maryland,2018.0,8.0,10.0,3.0,0.0,0.0,13.0,47.0,39.0,11.0,0.0,0.0,50.0,141.0,63.0,188.0,33.5
71,Massachusetts,2018.0,29.0,10.0,0.0,0.0,0.0,10.0,40.0,30.0,8.0,1.0,0.0,39.0,160.0,49.0,200.0,24.5
72,Michigan,2018.0,27.0,1.0,3.0,0.0,0.0,4.0,38.0,17.0,16.0,0.0,0.0,33.0,110.0,37.0,148.0,25.0
73,Minnesota,2018.0,11.0,10.0,6.0,0.0,0.0,16.0,67.0,28.0,20.0,0.0,0.0,48.0,134.0,64.0,201.0,31.8
74,Mississippi,2018.0,46.0,4.0,5.0,0.0,0.0,9.0,52.0,10.0,7.0,0.0,0.0,17.0,122.0,26.0,174.0,14.9
75,Missouri,2018.0,32.0,6.0,2.0,0.0,0.0,8.0,34.0,16.0,21.0,0.0,0.0,37.0,163.0,45.0,197.0,22.8
76,Montana,2018.0,20.0,11.0,2.0,0.0,0.0,13.0,50.0,21.0,8.0,0.0,0.0,29.0,100.0,42.0,150.0,28.0
77,Nebraska*,2018.0,24.0,0.0,0.0,0.0,0.0,13.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,49.0,26.5
78,Nevada,2018.0,3.0,5.0,1.0,0.0,1.0,7.0,21.0,13.0,4.0,0.0,0.0,17.0,42.0,24.0,63.0,38.1
79,New Hampshire,2018.0,17.0,4.0,3.0,0.0,0.0,7.0,24.0,77.0,38.0,0.0,0.0,115.0,400.0,122.0,424.0,28.8
80,New Jersey,2018.0,13.0,8.0,2.0,0.0,0.0,10.0,40.0,21.0,6.0,0.0,0.0,27.0,80.0,37.0,120.0,30.8
81,New Mexico,2018.0,15.0,5.0,2.0,0.0,0.0,7.0,42.0,17.0,10.0,0.0,0.0,27.0,70.0,34.0,112.0,30.4
82,New York,2018.0,19.0,8.0,7.0,0.0,0.0,15.0,63.0,42.0,3.0,0.0,0.0,45.0,150.0,60.0,213.0,28.2
83,North Carolina,2018.0,28.0,5.0,8.0,0.0,0.0,13.0,50.0,17.0,12.0,0.0,0.0,29.0,120.0,42.0,170.0,24.7
84,North Dakota,2018.0,41.0,3.0,6.0,0.0,0.0,9.0,47.0,7.0,10.0,0.0,0.0,17.0,94.0,26.0,141.0,18.4
85,Ohio,2018.0,33.0,3.0,3.0,0.0,0.0,6.0,33.0,13.0,10.0,0.0,0.0,23.0,99.0,29.0,132.0,22.0
86,Oklahoma,2018.0,48.0,3.0,3.0,0.0,0.0,6.0,48.0,5.0,8.0,0.0,0.0,12.0,101.0,19.0,149.0,12.8
87,Oregon,2018.0,9.0,6.0,2.0,0.0,0.0,8.0,30.0,19.0,3.0,0.0,0.0,22.0,60.0,30.0,90.0,33.3
88,Pennsylvania,2018.0,39.0,3.0,4.0,0.0,0.0,7.0,50.0,21.0,21.0,0.0,0.0,42.0,203.0,49.0,253.0,19.4
89,Rhode Island,2018.0,10.0,12.0,1.0,0.0,0.0,13.0,38.0,21.0,2.0,0.0,0.0,23.0,75.0,36.0,113.0,31.9
90,South Carolina,2018.0,43.0,2.0,2.0,0.0,0.0,4.0,46.0,12.0,11.0,0.0,0.0,23.0,124.0,27.0,170.0,15.9
91,South Dakota,2018.0,34.0,0.0,5.0,0.0,0.0,5.0,35.0,3.0,14.0,0.0,0.0,17.0,70.0,22.0,105.0,21.0
92,Tennessee,2018.0,43.0,2.0,3.0,0.0,0.0,5.0,33.0,7.0,9.0,0.0,0.0,16.0,99.0,21.0,132.0,15.9
93,Texas,2018.0,36.0,2.0,6.0,0.0,0.0,8.0,31.0,21.0,8.0,0.0,0.0,29.0,150.0,37.0,181.0,20.4
94,Utah,2018.0,37.0,3.0,2.0,0.0,0.0,5.0,29.0,9.0,7.0,0.0,0.0,16.0,75.0,21.0,104.0,20.2
95,Vermont,2018.0,2.0,9.0,2.0,0.0,0.0,11.0,30.0,39.0,13.0,3.0,5.0,60.0,150.0,71.0,180.0,39.4
96,Virginia,2018.0,22.0,7.0,3.0,0.0,0.0,10.0,40.0,23.0,5.0,0.0,0.0,28.0,100.0,38.0,140.0,27.1
97,Washington,2018.0,5.0,10.0,9.0,0.0,0.0,19.0,49.0,25.0,11.0,0.0,0.0,36.0,98.0,55.0,147.0,37.4
98,West Virginia,2018.0,46.0,0.0,4.0,0.0,0.0,4.0,34.0,2.0,14.0,0.0,0.0,16.0,100.0,20.0,134.0,14.9
99,Wisconsin,2018.0,30.0,7.0,2.0,0.0,0.0,9.0,33.0,14.0,9.0,0.0,0.0,23.0,99.0,32.0,132.0,24.2
100,Wyoming,2018.0,50.0,1.0,2.0,0.0,0.0,3.0,30.0,3.0,4.0,0.0,0.0,7.0,60.0,10.0,90.0,11.1
101,Alabama,2017.0,45.0,3.0,0.0,1.0,0.0,4.0,35.0,12.0,5.0,0.0,0.0,17.0,105.0,21.0,140.0,15.0
102,Alaska,2017.0,15.0,1.0,0.0,5.0,0.0,6.0,20.0,3.0,9.0,0.0,0.0,12.0,40.0,18.0,60.0,30.0
103,Arizona,2017.0,1.0,6.0,8.0,0.0,0.0,14.0,30.0,13.0,9.0,0.0,0.0,22.0,60.0,36.0,90.0,40.0
104,Arkansas,2017.0,40.0,3.0,4.0,0.0,0.0,7.0,35.0,3.0,15.0,0.0,0.0,18.0,100.0,25.0,135.0,18.5
105,California,2017.0,30.0,6.0,3.0,0.0,0.0,9.0,40.0,15.0,3.0,0.0,0.0,18.0,80.0,27.0,120.0,22.5
106,Colorado,2017.0,4.0,9.0,2.0,0.0,0.0,11.0,35.0,18.0,8.0,0.0,0.0,26.0,65.0,37.0,100.0,37.0
107,Connecticut,2017.0,19.0,7.0,2.0,0.0,0.0,9.0,36.0,21.0,22.0,0.0,0.0,43.0,151.0,52.0,187.0,27.8
108,Deleware,2017.0,33.0,3.0,1.0,0.0,0.0,4.0,21.0,7.0,2.0,0.0,0.0,9.0,41.0,13.0,62.0,21.0
109,Florida,2017.0,26.0,5.0,8.0,0.0,0.0,13.0,40.0,14.0,13.0,0.0,0.0,27.0,120.0,40.0,160.0,25.0
110,Georgia,2017.0,22.0,11.0,2.0,0.0,0.0,13.0,56.0,32.0,19.0,0.0,0.0,51.0,180.0,64.0,236.0,27.1
111,Hawaii,2017.0,21.0,7.0,0.0,0.0,0.0,7.0,25.0,12.0,3.0,0.0,0.0,15.0,51.0,22.0,76.0,28.9
112,Idaho,2017.0,13.0,4.0,5.0,0.0,0.0,9.0,35.0,7.0,16.0,0.0,0.0,23.0,70.0,32.0,105.0,30.5
113,Illinois,2017.0,6.0,13.0,4.0,0.0,0.0,17.0,59.0,33.0,12.0,0.0,0.0,45.0,118.0,62.0,177.0,35.0
114,Indiana,2017.0,36.0,2.0,6.0,0.0,0.0,8.0,50.0,11.0,11.0,0.0,0.0,22.0,100.0,30.0,150.0,20.0
115,Iowa,2017.0,28.0,5.0,1.0,0.0,0.0,6.0,50.0,19.0,9.0,0.0,0.0,28.0,100.0,34.0,150.0,22.7
116,Kansas,2017.0,18.0,4.0,11.0,0.0,0.0,15.0,40.0,15.0,17.0,0.0,0.0,32.0,125.0,47.0,165.0,28.5
117,Kentucky,2017.0,42.0,2.0,2.0,0.0,0.0,4.0,38.0,9.0,10.0,0.0,0.0,19.0,100.0,23.0,138.0,16.7
118,Louisiana,2017.0,44.0,3.0,2.0,0.0,0.0,5.0,39.0,8.0,9.0,0.0,0.0,17.0,105.0,22.0,144.0,15.3
119,Maine,2017.0,7.0,6.0,4.0,0.0,0.0,10.0,35.0,35.0,17.0,1.0,0.0,53.0,151.0,63.0,186.0,33.9
120,Maryland,2017.0,10.0,9.0,2.0,0.0,0.0,11.0,47.0,38.0,11.0,0.0,0.0,49.0,141.0,60.0,188.0,31.9
121,Massachusetts,2017.0,24.0,12.0,0.0,0.0,0.0,12.0,40.0,30.0,8.0,1.0,0.0,39.0,160.0,51.0,200.0,25.5
122,Michigan,2017.0,26.0,1.0,3.0,0.0,0.0,4.0,38.0,17.0,16.0,0.0,0.0,33.0,110.0,37.0,148.0,25.0
123,Minnesota,2017.0,9.0,9.0,7.0,0.0,0.0,16.0,67.0,28.0,21.0,0.0,0.0,49.0,134.0,65.0,201.0,32.3
124,Mississippi,2017.0,46.0,4.0,5.0,0.0,0.0,9.0,52.0,10.0,7.0,0.0,0.0,17.0,122.0,26.0,174.0,14.9
125,Missouri,2017.0,31.0,5.0,2.0,0.0,0.0,7.0,34.0,17.0,20.0,0.0,0.0,37.0,163.0,44.0,197.0,22.3
126,Montana,2017.0,17.0,12.0,2.0,0.0,0.0,14.0,50.0,21.0,8.0,0.0,0.0,29.0,100.0,43.0,150.0,28.7
127,Nebraska*,2017.0,23.0,0.0,0.0,0.0,0.0,13.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,49.0,26.5
128,Nevada,2017.0,3.0,5.0,2.0,0.0,1.0,8.0,21.0,13.0,4.0,0.0,0.0,17.0,42.0,25.0,63.0,39.7
129,New Hampshire,2017.0,16.0,4.0,3.0,0.0,0.0,7.0,24.0,80.0,39.0,0.0,0.0,119.0,400.0,126.0,424.0,29.7
130,New Jersey,2017.0,12.0,8.0,4.0,0.0,0.0,12.0,40.0,18.0,7.0,0.0,0.0,25.0,80.0,37.0,120.0,30.8
131,New Mexico,2017.0,14.0,5.0,2.0,0.0,0.0,7.0,42.0,17.0,10.0,0.0,0.0,27.0,70.0,34.0,112.0,30.4
132,New York,2017.0,20.0,7.0,7.0,0.0,0.0,14.0,63.0,41.0,3.0,1.0,0.0,45.0,150.0,59.0,213.0,27.7
133,North Carolina,2017.0,25.0,6.0,7.0,0.0,0.0,13.0,50.0,17.0,13.0,0.0,0.0,30.0,120.0,43.0,170.0,25.3
134,North Dakota,2017.0,41.0,3.0,6.0,0.0,0.0,9.0,47.0,7.0,10.0,0.0,0.0,17.0,94.0,26.0,141.0,18.4
135,Ohio,2017.0,32.0,3.0,3.0,0.0,0.0,6.0,33.0,13.0,10.0,0.0,0.0,23.0,99.0,29.0,132.0,22.0
136,Oklahoma,2017.0,48.0,2.0,4.0,0.0,0.0,6.0,48.0,6.0,8.0,0.0,0.0,14.0,101.0,20.0,149.0,13.4
137,Oregon,2017.0,8.0,6.0,2.0,0.0,0.0,8.0,30.0,19.0,3.0,0.0,0.0,22.0,60.0,30.0,90.0,33.3
138,Pennsylvania,2017.0,39.0,3.0,4.0,0.0,0.0,7.0,50.0,19.0,21.0,0.0,0.0,40.0,203.0,47.0,253.0,18.6
139,Rhode Island,2017.0,11.0,11.0,1.0,0.0,0.0,12.0,38.0,21.0,2.0,0.0,0.0,23.0,75.0,35.0,113.0,31.0
140,South Carolina,2017.0,47.0,2.0,2.0,0.0,0.0,4.0,46.0,11.0,9.0,0.0,0.0,20.0,124.0,24.0,170.0,14.1
141,South Dakota,2017.0,36.0,0.0,5.0,0.0,0.0,5.0,35.0,3.0,13.0,0.0,0.0,16.0,70.0,21.0,105.0,20.0
142,Tennessee,2017.0,43.0,2.0,3.0,0.0,0.0,5.0,33.0,7.0,9.0,0.0,0.0,16.0,99.0,21.0,132.0,15.9
143,Texas,2017.0,34.0,2.0,6.0,0.0,0.0,8.0,31.0,21.0,8.0,0.0,0.0,29.0,150.0,37.0,181.0,20.4
144,Utah,2017.0,35.0,3.0,3.0,0.0,0.0,6.0,29.0,9.0,6.0,0.0,0.0,15.0,75.0,21.0,104.0,20.2
145,Vermont,2017.0,1.0,9.0,2.0,0.0,0.0,11.0,30.0,40.0,13.0,3.0,5.0,61.0,150.0,72.0,180.0,40.0
146,Virginia,2017.0,38.0,7.0,3.0,0.0,0.0,10.0,40.0,13.0,4.0,0.0,0.0,17.0,100.0,27.0,140.0,19.3
147,Washington,2017.0,4.0,10.0,9.0,0.0,0.0,19.0,49.0,25.0,11.0,0.0,0.0,36.0,98.0,55.0,147.0,37.4
148,West Virginia,2017.0,48.0,0.0,3.0,0.0,0.0,3.0,34.0,2.0,13.0,0.0,0.0,15.0,100.0,18.0,134.0,13.4
149,Wisconsin,2017.0,30.0,6.0,2.0,0.0,0.0,8.0,33.0,13.0,9.0,0.0,0.0,22.0,99.0,30.0,132.0,22.7
150,Wyoming,2017.0,50.0,1.0,2.0,0.0,0.0,3.0,30.0,3.0,4.0,0.0,0.0,7.0,60.0,10.0,90.0,11.1
151,Alabama,2016.0,46.0,3.0,0.0,1.0,0.0,4.0,35.0,11.0,5.0,0.0,0.0,16.0,105.0,20.0,140.0,14.3
152,Alaska,2016.0,11.0,1.0,0.0,4.0,0.0,5.0,20.0,3.0,10.0,0.0,0.0,13.0,40.0,18.0,60.0,30.0
153,Arizona,2016.0,3.0,6.0,7.0,0.0,0.0,13.0,30.0,11.0,8.0,0.0,0.0,19.0,60.0,32.0,90.0,35.6
154,Arkansas,2016.0,36.0,3.0,4.0,0.0,0.0,7.0,35.0,6.0,14.0,0.0,0.0,20.0,100.0,27.0,135.0,20.0
155,California,2016.0,22.0,8.0,3.0,0.0,0.0,11.0,40.0,11.0,8.0,0.0,0.0,19.0,80.0,30.0,120.0,25.0
156,Colorado,2016.0,1.0,8.0,4.0,0.0,0.0,12.0,35.0,20.0,10.0,0.0,0.0,30.0,65.0,42.0,100.0,42.0
157,Connecticut,2016.0,16.0,8.0,1.0,0.0,0.0,9.0,36.0,24.0,19.0,0.0,0.0,43.0,151.0,52.0,187.0,27.8
158,Deleware,2016.0,28.0,5.0,1.0,0.0,0.0,6.0,21.0,7.0,2.0,0.0,0.0,9.0,41.0,15.0,62.0,24.2
159,Florida,2016.0,22.0,6.0,6.0,0.0,0.0,12.0,40.0,13.0,15.0,0.0,0.0,28.0,120.0,40.0,160.0,25.0
160,Georgia,2016.0,27.0,8.0,2.0,0.0,0.0,10.0,56.0,29.0,19.0,0.0,0.0,48.0,180.0,58.0,236.0,24.6
161,Hawaii,2016.0,14.0,8.0,0.0,0.0,0.0,8.0,25.0,10.0,4.0,0.0,0.0,14.0,51.0,22.0,76.0,28.9
162,Idaho,2016.0,17.0,4.0,6.0,0.0,0.0,10.0,35.0,7.0,12.0,0.0,0.0,19.0,70.0,29.0,105.0,27.6
163,Illinois,2016.0,6.0,12.0,4.0,0.0,0.0,16.0,59.0,32.0,10.0,0.0,0.0,42.0,118.0,58.0,177.0,32.8
164,Indiana,2016.0,34.0,3.0,6.0,0.0,0.0,9.0,50.0,12.0,10.0,0.0,0.0,22.0,100.0,31.0,150.0,20.7
165,Iowa,2016.0,31.0,6.0,1.0,0.0,0.0,7.0,50.0,21.0,6.0,0.0,0.0,27.0,100.0,34.0,150.0,22.7
166,Kansas,2016.0,29.0,4.0,9.0,0.0,0.0,13.0,40.0,9.0,17.0,0.0,0.0,26.0,125.0,39.0,165.0,23.6
167,Kentucky,2016.0,42.0,2.0,2.0,0.0,0.0,4.0,38.0,10.0,8.0,0.0,0.0,18.0,100.0,22.0,138.0,15.9
168,Louisiana,2016.0,44.0,3.0,2.0,0.0,0.0,5.0,39.0,8.0,9.0,0.0,0.0,17.0,105.0,22.0,144.0,15.3
169,Maine,2016.0,13.0,6.0,3.0,0.0,0.0,9.0,35.0,30.0,16.0,0.0,0.0,46.0,151.0,55.0,186.0,29.6
170,Maryland,2016.0,7.0,10.0,2.0,0.0,0.0,12.0,47.0,37.0,11.0,0.0,0.0,48.0,141.0,60.0,188.0,31.9
171,Massachusetts,2016.0,22.0,12.0,0.0,0.0,0.0,12.0,40.0,29.0,9.0,0.0,0.0,38.0,160.0,50.0,200.0,25.0
172,Michigan,2016.0,35.0,1.0,3.0,0.0,0.0,4.0,38.0,16.0,10.0,0.0,0.0,26.0,110.0,30.0,148.0,20.3
173,Minnesota,2016.0,5.0,15.0,8.0,0.0,0.0,23.0,67.0,26.0,18.0,0.0,0.0,44.0,134.0,67.0,201.0,33.3
174,Mississippi,2016.0,50.0,4.0,5.0,0.0,0.0,9.0,52.0,9.0,5.0,0.0,0.0,14.0,122.0,23.0,174.0,13.2
175,Missouri,2016.0,26.0,5.0,1.0,0.0,0.0,6.0,34.0,19.0,24.0,0.0,0.0,43.0,163.0,49.0,197.0,24.9
176,Montana,2016.0,9.0,12.0,6.0,0.0,0.0,18.0,50.0,21.0,8.0,0.0,0.0,29.0,100.0,47.0,150.0,31.3
177,Nebraska*,2016.0,32.0,0.0,0.0,0.0,0.0,11.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,49.0,22.4
178,Nevada,2016.0,8.0,2.0,2.0,0.0,0.0,4.0,21.0,9.0,7.0,0.0,0.0,16.0,42.0,20.0,63.0,31.7
179,New Hampshire,2016.0,15.0,4.0,4.0,0.0,0.0,8.0,24.0,67.0,45.0,0.0,0.0,112.0,400.0,120.0,424.0,28.3
